name,city,state,original_type,detected_type,estimated_acres,verification_priority,skip_reason,verified_acres,confidence,source,status,notes
Hope Mountain Ranch,Salt Lake Cty,UT,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Morasha Inc,Lakewood,PA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Carolina Creek Christian Camp,Huntsville,TX,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Hasc Inc,Parksville,NY,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Tawonga Jewish Community Corporationâ€” Camp Tawonga,San Francisco,CA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Presbyterian Mo Ranch Assembly,Hunt,TX,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
National Ghost Ranch Foundation Inc,Abiquiu,NM,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Woodlands Camp And Conference Center Inc,Cleveland,GA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Geneva Camp & Retreat Center,Holland,MI,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Sky Ranch Horn Creek,Van,TX,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Look Up Lodge Christian Camp Inc,Travelers Rst,SC,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Ferncliff Camp & Conference Center,Little Rock,AR,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Anderson Inc,Marianna,FL,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
North Georgia Camp And Retreat Ministries Inc,Dahlonega,GA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Black Lake Bible Camp And Conference Center,Olympia,WA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Jewish Community Camp And Retreat Center Inc,San Diego,CA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Hargis Christian Camp,Chelsea,AL,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Sacramento Camp And Conference Center Incâ€” Sacramento Methodist Assembly,Sacramento,NM,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Sky Ranch At Cave Springs Inc,Van,TX,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Lutheran Camp Association,Arcadia,MI,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Pecometh United Methodist Camp And Retreat Ministries Incâ€” Pecometh Camp & Retreat Ministries,Centreville,MD,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Frontier Camp Inc,Grapeland,TX,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Maranatha Bible Camp Inc,Maxwell,NE,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Ceta Canyon Camp & Retreat Center,Happy,TX,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Circle Six Ranch Baptist Camp Inc,Lenorah,TX,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Herzl Camp Foundation,Minneapolis,MN,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Allegany Boys Camp Inc,Oldtown,MD,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Sky Ranch At Ute Trail Inc,Van,TX,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Woodland Christian Camp Inc,Temple,GA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Degel Hatorah Inc,Lakewood,NJ,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Spalding,Newport,WA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Trout Creek Bible Camp Inc,Corbett,OR,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Victory Christian Camp,Zumbro Falls,MN,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Potters Ranch Inc,Florence,KY,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Waitts Lake Bible Camp,Chewelah,WA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Manitoumi Inc,Lowpoint,IL,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Winnataska,Birmingham,AL,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Zion Inc,Ellison Bay,WI,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Roxbury Holiness Camp Inc,Roxbury,PA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Friends Of Lake Swan Camp Inc,Melrose,FL,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Little Eden Camp,Onekama,MI,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Lutheran Episcopal Camp And Conference Center Inc,Port Murray,NJ,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Dark Waters Inc,Medford,NJ,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
The Ark Christian Ministries Incâ€” Rainbow Christian Camp,Jasper,IN,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Clydehurst Christian Ranch Inc,Billings,MT,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Sugar Pine Christian Campsâ€” Camp Sugar Pine,Oakhurst,CA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Arrah Wanna Inc,Welches,OR,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Upper Peninsula Bible Camp Inc,Little Lake,MI,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Cedar Bay Camp And Retreat Center Incâ€” C O Richard Angelo,Cedarville,MI,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Lancaster Camp Meeting & Assembly Assn,Lancaster,OH,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Project 2411 Ministriesâ€” Deer Valley Ranch,West Palm Bch,FL,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Jonah,Trout Lake,WA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Oakhurst Inc,Coarsegold,CA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Redemption Ranch Ministries,Moscow Mills,MO,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Swataraâ€” Church Of The Brethren,Bethel,PA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Illinois Mennonite Camp Assn Incâ€” Menno Haven Camp & Retreat Ctr,Tiskilwa,IL,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Wyldewood,Searcy,AR,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Harry E Sheldon Calvary Camp Inc,Pittsburgh,PA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Swamp Camp Services Inc,Union Point,GA,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Shepherds Fold Ranch Inc,Avant,OK,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Dovewood Inc,O Brien,FL,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Pinecrest Camp,Fredericktown,MO,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Camp Longridge,Ridgeway,SC,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Big Canyon Ranch Inc,Wanship,UT,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
Westminster Woods Camp And Retreat Center Inc,Fall River,KS,Religous Institution,camp_ranch,0.0,CRITICAL,,,,,,
