ein,tax_period,form_type,total_revenue,total_expenses,total_assets_end,total_liabilities_end,net_assets_end,avg_revenue_3yr,avg_expenses_3yr,num_filings_in_3yr
010211497,202306,990,287466000,284605000,2244685000,411336000,1833349000,N/A,N/A,1
010211781,202306,990,192073209,179471899,880484919,208806102,671678817,N/A,N/A,1
010211810,202305,990,282092734,240884585,727087320,209378858,517708462,N/A,N/A,1
010212542,202306,990,48073477,51532023,64309387,17601024,46708363,N/A,N/A,1
010215213,202306,990,355248000,275375000,3048898000,429804000,2619094000,N/A,N/A,1
010263385,202306,990,34736562,35230449,85311388,18352878,66958510,N/A,N/A,1
010271210,202306,990,81957246,80527066,149562202,38958069,110604133,N/A,N/A,1
010355980,202306,990,2338605,2232078,2921977,936565,1985412,N/A,N/A,1
010356077,202306,990,9930190,4602969,16722913,1319043,15403870,N/A,N/A,1
010378758,202306,990,26110572,25843831,47873713,15230047,32643666,N/A,N/A,1
010597067,202312,990,4784583,4516299,1245209,612941,632268,N/A,N/A,1
010779814,202312,990,1374113,1236658,1470409,640873,829536,N/A,N/A,1
010788484,202312,990,626205,889516,6988944,146912,6842032,588936.0,845475.5,2
010886085,202312,990,305976,291683,627819,1617,626202,N/A,N/A,1
016004194,202312,990,1620508,1653314,3027978,678734,2349244,N/A,N/A,1
020222120,202306,990,69063751,63833439,134968854,31417901,103550953,N/A,N/A,1
020222182,202306,990,138744388,139905029,350702095,96491433,254210662,N/A,N/A,1
020222215,202312,990,283474581,288175259,245199262,124570036,120629226,N/A,N/A,1
020223339,202306,990,65894279,62248435,151913252,51291111,100622141,N/A,N/A,1
020223955,202306,990,74124658,78629375,90601279,34621528,55979751,N/A,N/A,1
020263136,202305,990,85806266,86816801,92753056,46503900,46249156,N/A,N/A,1
020272292,202312,990,233600,247899,327634,45437,282197,N/A,N/A,1
020344073,202405,990,5988598,5789115,7414400,1479063,5935337,N/A,N/A,1
020561227,202312,990,1995212,2219484,2559220,4147687,-1588467,N/A,N/A,1
020625930,202406,990,407169,325443,160936,701,160235,N/A,N/A,1
020658798,202306,990,524101,463400,403931,68098,335833,N/A,N/A,1
020665083,202312,990,1451072,981949,1695448,0,1695448,N/A,N/A,1
030107360,202312,990,98252259,90079994,60411408,20503242,39908166,N/A,N/A,1
030179298,202306,990,456039665,400959311,2015811537,453450257,1562361280,N/A,N/A,1
030179403,202306,990,95658452,106905694,195408845,63713978,131694867,N/A,N/A,1
030179414,202306,990,76428687,83228772,151307079,61054451,90252628,N/A,N/A,1
030179424,202305,990,192660298,196525026,487810039,95522875,392287164,N/A,N/A,1
030179592,202306,990,108664383,112486970,69242962,23642046,45600916,N/A,N/A,1
030197728,202306,990,9079705,8764137,8224987,2190656,6034331,N/A,N/A,1
030220266,202306,990,128478553,129827314,221563269,83356738,138206531,N/A,N/A,1
030354382,202312,990,1870438,1973450,3107152,125283,2981869,N/A,N/A,1
030445789,202312,990,18551119,17790289,12056178,1997675,10058503,N/A,N/A,1
030461931,202312,990,480013,482432,400277,13486,386791,N/A,N/A,1
030462024,202312,990,461678,537832,523170,29102,494068,N/A,N/A,1
030482006,202306,990,72587422,70134466,246761373,60649114,186112259,N/A,N/A,1
041081650,202306,990,347738231,333671536,753030083,203271083,549759000,N/A,N/A,1
041286950,202306,990,331849178,318980558,1142841556,592022004,550819552,N/A,N/A,1
041679980,202306,990,2586227003,2460539353,5973617000,2253150000,3720467000,N/A,N/A,1
041843040,202306,990,587487822,385649483,3615699490,632443587,2983255903,N/A,N/A,1
041958460,202306,990,193468355,197512979,493989600,221860098,272129502,N/A,N/A,1
042002060,202306,990,47613333,52403887,43499986,24106796,19393190,N/A,N/A,1
042005934,202306,990,23433827,25150525,65998112,9508797,56489315,N/A,N/A,1
042103542,202306,990,379275079,401185430,5302371715,773657627,4528714088,N/A,N/A,1
042103544,202306,990,344014371,305464086,1116080345,249328947,866751398,N/A,N/A,1
042103552,202306,990,478693199,516290241,1729108819,338267424,1390841395,N/A,N/A,1
042103558,202306,990,308222391,317229056,1609954174,287611277,1322342897,N/A,N/A,1
042103567,202306,990,195920645,173255915,508070133,143192922,364877211,N/A,N/A,1
042103578,202306,990,283916749,235271207,1439685614,276198062,1163487552,N/A,N/A,1
042103585,202306,990,78954053,92945178,119807608,70780667,49026941,N/A,N/A,1
042103589,202306,990,117726321,116817987,422901748,147478385,275423363,N/A,N/A,1
042103629,202306,990,224969965,238706696,555475518,313701010,241774508,N/A,N/A,1
042103637,202306,990,385569831,340731004,3757832303,610133786,3147698517,N/A,N/A,1
042103638,202306,990,154250092,159378442,438679115,97600946,341078169,N/A,N/A,1
042103701,202306,990,82582498,82257889,94251994,34148646,60103348,N/A,N/A,1
042103731,202306,990,291242191,278514238,380055246,191994601,188060645,N/A,N/A,1
042103830,202307,990,7863488,8698215,55094149,887195,54206954,N/A,N/A,1
042103865,202306,990,61681825,61915154,126885753,23304017,103581736,N/A,N/A,1
042104149,202305,990,71441705,75965101,113932349,48890190,65042159,N/A,N/A,1
042104229,202306,990,180133281,181709669,502768183,103510438,399257745,N/A,N/A,1
042104258,202306,990,62766673,74166129,182425243,31160767,151264476,N/A,N/A,1
042104300,202306,990,9715002,9706876,23978531,6017693,17960838,N/A,N/A,1
042104329,202306,990,154906249,165147686,303553641,139136778,164416863,N/A,N/A,1
042104451,202306,990,102931828,110142424,113182363,64467796,48714567,N/A,N/A,1
042104778,202306,990,60728130,63833463,118318760,31026297,87292463,N/A,N/A,1
042104847,202306,990,424095865,357041990,4819845872,946525334,3873320538,N/A,N/A,1
042104932,202312,990,1232727,1328490,6342091,96358,6245733,1082326.0,1286980.5,2
042105769,202306,990,120880010,130380333,440526131,285270471,155255660,N/A,N/A,1
042105776,202305,990,116907832,121995531,237826109,47624036,190202073,N/A,N/A,1
042105777,202306,990,22595882,27154238,41751808,19432024,22319784,N/A,N/A,1
042108376,202306,990,169825648,171778860,259519169,116205464,143313705,N/A,N/A,1
042111203,202305,990,226941247,248885959,728511228,201252235,527258993,N/A,N/A,1
042121659,202306,990,462672181,483023410,1319474615,520187087,799287528,N/A,N/A,1
042133255,202306,990,338957398,370498553,789643941,477942955,311700986,N/A,N/A,1
042149334,202309,990,536922,499897,759425,119735,639690,N/A,N/A,1
042199867,202305,990,102903444,118858006,200026590,78107871,121918719,N/A,N/A,1
042225850,202306,990,47812211,45063453,79290502,18150584,61139918,N/A,N/A,1
042271070,202306,990,19555208,22262173,37810886,21275359,16535527,N/A,N/A,1
042300275,202312,990,269098,161574,420445,0,420445,N/A,N/A,1
042620216,202305,990,44900652,43839105,50241420,26146197,24095223,N/A,N/A,1
042767880,202309,990,336322410,286401935,266194060,204628564,61565496,N/A,N/A,1
043049162,202406,990,246023,164171,569424,251,569173,N/A,N/A,1
043348440,202307,990,191323514,200171496,135263308,120714939,14548369,N/A,N/A,1
043403049,202306,990,6861677,4147139,7472370,2080010,5392360,N/A,N/A,1
046130872,202306,990,44848291,59125469,86346229,28076719,58269510,N/A,N/A,1
046141144,202312,990,1949517,196726,16705877,25000,16680877,2122193.5,220470.0,2
050258810,202306,990,255859551,242647809,637475150,218442232,419032918,N/A,N/A,1
050258932,202306,990,372863038,349671951,1044258281,359288182,684970099,N/A,N/A,1
050258956,202306,990,228805896,220855533,714113370,218917916,495195454,N/A,N/A,1
050259080,202306,990,136593065,135367026,221864570,49063628,172800942,N/A,N/A,1
050277222,202306,990,231963642,230110748,285176680,126992415,158184265,N/A,N/A,1
050306206,202306,990,342582611,334312690,800637428,86014033,714623395,N/A,N/A,1
050312747,202306,990,78623640,81361331,427278790,99959175,327319615,N/A,N/A,1
050470320,202306,990,4779750,5660729,23167671,2853708,20313963,N/A,N/A,1
050569638,202312,990,163332,176479,3611370,246,3611124,N/A,N/A,1
056015988,202304,990,4318562,6497096,17395570,1974067,15421503,N/A,N/A,1
060646520,202406,990,42723304,47250170,81554448,34935412,46619036,N/A,N/A,1
060646587,202306,990,182064000,192049000,708591000,163099000,545492000,N/A,N/A,1
060646623,202306,990,424528036,384746576,1146008194,368291521,777716673,N/A,N/A,1
060646829,202306,990,86517439,86429870,142402156,57761727,84640429,N/A,N/A,1
060646927,202306,990,240407084,250376491,1166779575,218372793,948406782,N/A,N/A,1
060646959,202306,990,289410000,352224000,2371732000,540196000,1831536000,N/A,N/A,1
060653264,202305,990,225789915,209604167,519621300,172307688,347313612,N/A,N/A,1
060662150,202306,990,28131563,29674145,42749139,21079996,21669143,N/A,N/A,1
060731360,202306,990,269346005,291534868,426310606,223210715,203099891,N/A,N/A,1
061149131,202306,990,5738415,6518709,16594392,848253,15746139,N/A,N/A,1
061307050,202306,990,1668023,1557513,1578065,382410,1195655,N/A,N/A,1
061519057,202306,990,32983159,59796651,487410086,167501827,319908259,N/A,N/A,1
061627882,202306,990,65565848,73663513,311730518,57839493,253891025,N/A,N/A,1
061645496,202312,990,17771383,15570960,0,0,0,26758383.0,27133844.5,2
061790553,202312,990-EZ,156120,148075,28865,0,28865,N/A,N/A,1
100000800,202312,990,498232,532347,1538706,0,1538706,N/A,N/A,1
110461385,202308,990,40693540,43562964,90841107,60692327,30148780,N/A,N/A,1
