row_index,institution,master_city,master_state,query_norm,matched_irs_name,irs_city,irs_state,score,city_ok,state_ok,ein_filled
98,EDP University of Puerto Rico-Manati,Manati,PR,edp university of puerto rico manati,Edp University of Puerto Rico Inc.,San Juan,PR,89.85507246376811,False,True,660277132
336,Saint Edward's University,Austin,TX,saint edward s university,St. Edwards University,Austin,TX,91.30434782608697,True,True,741109641
588,Rabbinical College of Ohr Shimon Yisroel,Brooklyn,NY,rabbinical college of ohr shimon yisroel,Rabbinical College of Shimon Yisroel Inc.,Brooklyn,NY,90.0,True,True,113203397
596,Central Yeshiva Tomchei Tmimim Lubavitz,Brooklyn,NY,central yeshiva tomchei tmimim lubavitz,Central Yeshiva Tomchei Timimim Lubavitz of the US A,Brooklyn,NY,89.65517241379311,True,True,111797166
1016,CET-San Diego,San Diego,CA,cet san diego,Cyt San Diego,El Cajon,CA,92.3076923076923,False,True,452499705
1032,Texas Barber College,Houston,TX,texas barber college,Texas Bar College,Austin,TX,91.89189189189189,False,True,020581226
1105,Ace Institute of Technology,New York,NY,ace institute of technology,Institute of Technology,Brooklyn,NY,92.0,False,True,300193720
1423,CALC Institute of Technology,Alton,IL,calc institute of technology,Institute of Gas Technology,Des Plaines,IL,90.9090909090909,False,True,362170137
1833,Colgate Rochester Crozer Divinity School,Rochester,NY,colgate rochester crozer divinity school,Colgate Rochester Divinity School,Rochester,NY,90.41095890410959,True,True,160743916
1914,The New England Conservatory of Music,Boston,MA,new england conservatory of music,New England Conservatory of Music,Boston,MA,100.0,True,True,237225104
2179,Mirrer Yeshiva Cent Institute,Brooklyn,NY,mirrer yeshiva cent institute,Mirrer Yeshiva Central Institute,Brooklyn,NY,95.08196721311475,True,True,111782116
2314,The Juilliard School,New York,NY,juilliard school,Juilliard School,New York,NY,100.0,True,True,131624067
2339,California Northstate University,Elk Grove,CA,california northstate university,California State University,Fresno,CA,91.52542372881356,False,True,941085570
3438,Strayer University-Delaware,Wilmington,DE,strayer university delaware,Delaware State University,Dover,DE,92.3076923076923,False,True,510305893
3439,Strayer University-Mississippi,Jackson,MS,strayer university mississippi,Mississippi State University,Ms State,MS,93.10344827586206,False,True,646000819
3447,Strayer University-Florida,Tampa,FL,strayer university florida,Florida State University,Tallahassee,FL,92.0,False,True,591961248
