name,city,state,institution_type
University of Aesthetics & Cosmetology,Chicago,IL,Private College
Florida Career College-Tampa,Tampa,FL,Private College
Institucion Chaviano de Mayaguez,Mayaguez,PR,Private College
Universidad Adventista de las Antillas,Mayaguez,PR,Private College
Medical Career Institute,Ocean,NJ,Private College
Huntington University of Health Sciences,Knoxville,TN,Private College
Universidad Ana G. Mendez-Carolina Campus,Carolina,PR,Private College
Universidad Ana G. Mendez-Gurabo Campus,Gurabo,PR,Private College
Blue Cliff College-Fayetteville,Fayetteville,AR,Private College
American College of Barbering,Louisville,KY,Private College
Trinity International University-Florida,Miami,FL,Private College
Industrial Technical College,Humacao,PR,Private College
Hairmasters Institute of Cosmetology,Bloomington,IL,Private College
Bay State College,Boston,MA,Private College
Southwest Acupuncture College-Boulder,Boulder,CO,Private College
Altierus Career College-Bissonnet,Houston,TX,Private College
Blue Cliff College-Houma,Houma,LA,Private College
Carrington College-Citrus Heights,Citrus Heights,CA,Private College
Community Technology Learning Center of Portage,Ravenna,OH,Private College
Cosmo Beauty Academy,Sacramento,CA,Private College
Academy di Firenze,Jerome,ID,Private College
Wright Graduate University for the Realization of Human Potential,Elkhorn,WI,Private College
B-Unique Beauty and Barber Academy,Greenville,SC,Private College
Sage School of Massage & Esthetics,Bend,OR,Private College
Cannella School of Hair Design-Chicago,Chicago,IL,Private College
Columbia Central University-Caguas,Caguas,PR,Private College
Trend Barber College,Houston,TX,Private College
Stellar Career College,Modesto,CA,Private College
Interactive College of Technology,Houston,TX,Private College
Automeca Technical College-Ponce,Ponce,PR,Private College
Liceo de Arte-Dise-O y Comercio,Caguas,PR,Private College
Emma's Beauty Academy-Juana Diaz,Juana Diaz,PR,Private College
Colegio Mayor de Tecnologia Inc,Arroyo,PR,Private College
InterCoast Colleges-Santa Ana,Santa Ana,CA,Private College
Academy of Beauty Professionals,Madison,WI,Private College
The Salon Professional Academy,Rapid City,SD,Private College
Bayamon Community College,Bayamon,PR,Private College
Spartan College of Aeronautics and Technology,Broomfield,CO,Private College
Albizu University-San Juan,San Juan,PR,Private College
Caribbean University-Carolina,Carolina,PR,Private College
Fortis College-Foley,Foley,AL,Private College
Escuela de Peritos Electricistas de Isabela Inc,Isabela,PR,Private College
Larry's Barber College,Chicago,IL,Private College
Oak Point University,Oak Brook,IL,Private College
Pacific College of Health and Science,San Diego,CA,Private College
Goshen School of Cosmetology,Cleveland,MS,Private College
Universidad Ana G. Mendez-Cupey Campus,San Juan,PR,Private College
Chatfield College,Saint Martin,OH,Private College
Central Pennsylvania Diesel Institute,Liverpool,PA,Private College
Dewey University-Manati,Manati,PR,Private College
Joffrey Ballet School,New York,NY,Private College
Hussian College-Los Angeles,Los Angeles,CA,Private College
Caribbean University-Bayamon,Bayamon,PR,Private College
DeVry University-Missouri,Kansas City,MO,Private College
DeVry University-Colorado,Westminster,CO,Private College
Huertas College,Caguas,PR,Private College
Hussian College-Philadelphia,Philadelphia,PA,Private College
CEM College-Humacao,Humacao,PR,Private College
Arthur's Beauty College,Fort Smith,AR,Private College
Platt College-San Diego,San Diego,CA,Private College
