name,city,state,ein,error
Acres of Hope Ministry,#VALUE!,,,no_location_data
TMM Ministries,#VALUE!,,,no_location_data
Springbank Christian Center,#VALUE!,,,no_location_data
Tyler Feller Ministries,#VALUE!,,,no_location_data
Southern Bible Testimony Inc Camp Living Water,#VALUE!,,,no_location_data
Be Still,#VALUE!,,,no_location_data
There Is More Ministries Living Waters,#VALUE!,,,no_location_data
Evergreen Retreat Center,#VALUE!,,,no_location_data
Basic Training,#VALUE!,,,no_location_data
Warner Memorial Camp Meeting Association of the Church of God,#VALUE!,,,no_location_data
Nazareth Farm,#VALUE!,,,no_location_data
Spiritual Christian Ministry,#VALUE!,,,no_location_data
Franciscan Mountain Retreat,#VALUE!,,,no_location_data
Illinois Mennonite Camp Association,#VALUE!,,,no_location_data
Cedine Bible Mission,#VALUE!,,,no_location_data
Black Bird Refuge (BBR),#VALUE!,,,no_location_data
Barnabas Family Ministries Society,#VALUE!,,980121066,no_location_data
Fort Bluff Camp (FBC),#VALUE!,,,no_location_data
Our Lady of Hope Catholic Retreat,#VALUE!,,,no_location_data
K-Life Ministries / Group Return,#VALUE!,,,no_location_data
